Platform Genre        Tot_Global_Sales
    <chr>    <chr>                   <dbl>
198 PS4      Adventure                4.7 
199 PSV      Shooter                  4.57
200 GB       Racing                   4.55
201 NES      Adventure                4.38
202 GC       Strategy                 4.32
203 GBA      Fighting                 4.21
204 PSV      Adventure                4.18
205 SAT      Adventure                4.16
206 PC       Racing                   4.06
207 SAT      Shooter                  3.98
208 SAT      Role-Playing             3.76
209 DC       Sports                   3.66
210 GBA      Shooter                  3.6 
211 NES      Misc                     3.59
212 2600     Misc                     3.58
213 GB       Simulation               3.55
214 2600     Sports                   3.43
215 N64      Puzzle                   3.41
216 N64      Role-Playing             3.36
217 WiiU     Sports                   3.32
218 SAT      Strategy                 3.24
219 GEN      Sports                   3.2 
220 PSV      Fighting                 3.15
221 XB       Adventure                3.06
222 PSV      Platform                 3.03
223 PSV      Racing                   2.95
224 2600     Racing                   2.91
225 SAT      Sports                   2.79
226 XB       Strategy                 2.78
227 GEN      Action                   2.74
228 DC       Racing                   2.65
229 DC       Platform                 2.54
230 XOne     Adventure                2.51
231 DC       Adventure                2.5 
232 WiiU     Role-Playing             2.47
233 SAT      Racing                   2.4 
234 XOne     Fighting                 2.31
235 3DS      Strategy                 2.09
236 DC       Fighting                 1.83
237 2600     Adventure                1.7 
238 SCD      Platform                 1.5 
239 SNES     Adventure                1.5 
240 NG       Fighting                 1.42
241 WiiU     Puzzle                   1.33
242 3DS      Shooter                  1.29
243 DC       Action                   1.26
244 2600     Fighting                 1.24
245 WiiU     Strategy                 1.24
246 WS       Role-Playing             1.22
247 GB       Shooter                  1.2 
248 SAT      Misc                     1.2 
249 SAT      Simulation               1.13
250 SAT      Puzzle                   1   
251 PC       Puzzle                   0.92
252 X360     Puzzle                   0.85
253 XOne     Platform                 0.81
254 PS4      Simulation               0.77
255 SAT      Platform                 0.76
256 DC       Role-Playing             0.68
257 SAT      Action                   0.65
258 PS3      Puzzle                   0.6 
259 XOne     Simulation               0.54
260 DC       Simulation               0.52
261 PC       Platform                 0.49
262 2600     Simulation               0.45
263 N64      Adventure                0.45
264 XB       Puzzle                   0.42
265 PS4      Strategy                 0.41
266 XOne     Strategy                 0.38
267 DC       Shooter                  0.33
268 PSV      Strategy                 0.31
269 GEN      Role-Playing             0.27
270 PC       Fighting                 0.27
271 GEN      Racing                   0.26
272 WiiU     Simulation               0.21
273 PSV      Puzzle                   0.2 
274 WS       Strategy                 0.2 
275 GEN      Adventure                0.19
276 GEN      Strategy                 0.19
277 WiiU     Adventure                0.17
278 SCD      Strategy                 0.14
279 TG16     Adventure                0.14
280 GEN      Shooter                  0.13
281 SCD      Misc                     0.1 
282 PSV      Simulation               0.08
283 SCD      Racing                   0.07
284 3DO      Adventure                0.06
285 SCD      Role-Playing             0.06
286 GG       Platform                 0.04
287 GEN      Misc                     0.03
288 PCFX     Role-Playing             0.03
289 3DO      Puzzle                   0.02
290 3DO      Simulation               0.02
291 NG       Sports                   0.02
292 PS4      Puzzle                   0.02
293 TG16     Shooter                  0.02
